Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
"AALBERTS NV";NL0000852564;AALB;"Euronext Amsterdam";EUR;35.40;36.53;35.22;36.40;"15/12/20 17:36";CET;232834;8432476.87
"AB INBEV";BE0974293251;ABI;"Euronext Brussels";EUR;57.66;58.05;57.34;57.93;"15/12/20 17:35";CET;1504281;86878412.28
"ABN AMRO BANK N.V.";NL0011540547;ABN;"Euronext Amsterdam";EUR;8.10;8.34;8.058;8.312;"15/12/20 17:35";CET;5038275;41506290.67
ACCOR;FR0000120404;AC;"Euronext Paris";EUR;29.43;30.03;29.01;29.99;"15/12/20 17:35";CET;1116363;33050550.54
"ACKERMANS V.HAAREN";BE0003764785;ACKB;"Euronext Brussels";EUR;118.80;120.00;118.40;118.80;"15/12/20 17:35";CET;29710;3538525.50
Adevinta;NO0010844038;ADE;"Oslo Børs";NOK;134.00;135.10;131.70;135.10;"15/12/20 16:25";CET;455497;5762098.45
ADP;FR0010340141;ADP;"Euronext Paris";EUR;105.00;106.20;104.10;106.00;"15/12/20 17:36";CET;70038;7397072.60
ADYEN;NL0012969182;ADYEN;"Euronext Amsterdam";EUR;1838.00;1874.50;1828.00;1860.00;"15/12/20 17:39";CET;70953;131591277.50
AEDIFICA;BE0003851681;AED;"Euronext Brussels, Amsterdam";EUR;95.00;95.30;93.90;94.00;"15/12/20 17:35";CET;55552;5236136.60
AEGON;NL0000303709;AGN;"Euronext Amsterdam";EUR;2.96;3.066;2.946;3.066;"15/12/20 17:35";CET;13627031;41299941.54
"AF Gruppen";NO0003078107;AFG;"Oslo Børs";NOK;170.00;170.00;167.00;167.40;"15/12/20 16:25";CET;34015;536548.97
AGEAS;BE0974264930;AGS;"Euronext Brussels";EUR;42.26;42.75;42.00;42.50;"15/12/20 17:35";CET;465964;19749456.11
"AHOLD DEL";NL0011794037;AD;"Euronext Amsterdam, Brussels";EUR;23.45;23.69;23.35;23.42;"15/12/20 17:35";CET;3421472;80410453.48
"AIB GROUP PLC";IE00BF0L3536;A5G;"Euronext Dublin";EUR;1.534;1.606;1.534;1.597;"15/12/20 21:07";IST;2890758;4589494.47
"AIR FRANCE -KLM";FR0000031122;AF;"Euronext Paris, Amsterdam";EUR;4.86;4.95;4.724;4.942;"15/12/20 17:36";CET;5187085;25173827.77
"AIR LIQUIDE";FR0000120073;AI;"Euronext Paris";EUR;136.10;136.80;133.60;133.70;"15/12/20 17:30";CET;980890;131809069.60
AIRBUS;NL0000235190;AIR;"Euronext Paris";EUR;91.50;92.34;89.85;91.37;"15/12/20 17:38";CET;2055691;187488576.83
Aker;NO0010234552;AKER;"Oslo Børs";NOK;518.00;522.00;515.00;518.00;"15/12/20 16:27";CET;32401;1582506.48
"AKKA TECHNOLOGIES";FR0004180537;AKA;"Euronext Paris, Brussels";EUR;24.70;25.20;23.15;25.10;"15/12/20 17:35";CET;102267;2505274.55
"AKZO NOBEL";NL0013267909;AKZA;"Euronext Amsterdam";EUR;86.18;87.30;86.02;86.66;"15/12/20 17:35";CET;407466;35319544.88
ALD;FR0013258662;ALD;"Euronext Paris";EUR;11.70;12.12;11.68;11.90;"15/12/20 17:35";CET;179424;2136088.32
ALSTOM;FR0010220475;ALO;"Euronext Paris";EUR;45.70;46.40;45.65;45.87;"15/12/20 17:35";CET;648395;29821942.16
ALTAREA;FR0000033219;ALTA;"Euronext Paris";EUR;130.60;134.20;130.60;134.20;"15/12/20 17:35";CET;3738;496536.80
ALTEN;FR0000071946;ATE;"Euronext Paris";EUR;89.60;91.40;89.05;90.95;"15/12/20 17:35";CET;39380;3568537.00
"ALTICE EUROPE B";NL0011333760;ATCB;"Euronext Amsterdam";EUR;4.395;4.42;4.335;4.37;"15/12/20 17:35";CET;60322;263521.05
"ALTICE EUROPE N.V.";NL0011333752;ATC;"Euronext Amsterdam";EUR;4.387;4.415;4.313;4.323;"15/12/20 17:35";CET;1781158;7746805.51
"ALTRI SGPS";PTALT0AE0002;ALTR;"Euronext Lisbon";EUR;5.38;5.38;5.15;5.29;"15/12/20 22:35";BST;544962;2862228.82
AMUNDI;FR0004125920;AMUN;"Euronext Paris";EUR;66.90;68.20;66.30;67.95;"15/12/20 17:35";CET;125872;8529194.50
APERAM;LU0569974404;APAM;"Euronext Amsterdam, Brussels, Paris";EUR;32.53;33.50;32.45;33.46;"15/12/20 17:36";CET;289281;9591271.71
ARCADIS;NL0006237562;ARCAD;"Euronext Amsterdam";EUR;25.66;25.84;25.48;25.70;"15/12/20 17:35";CET;119724;3065922.30
"ARCELORMITTAL SA";LU1598757687;MT;"Euronext Amsterdam, Paris";EUR;17.614;18.692;17.50;18.652;"15/12/20 17:39";CET;8825366;161455982.09
ARGAN;FR0010481960;ARG;"Euronext Paris";EUR;77.80;78.00;77.20;77.20;"15/12/20 17:35";CET;1583;122748.20
"ARGENX SE";NL0010832176;ARGX;"Euronext Brussels";EUR;252.20;254.80;249.40;249.40;"15/12/20 17:36";CET;56668;14215357.60
ARKEMA;FR0010313833;AKE;"Euronext Paris";EUR;94.88;96.50;94.58;95.08;"15/12/20 17:35";CET;146787;13980157.10
"ARTOIS NOM.";FR0000076952;ARTO;"Euronext Paris";EUR;3940.00;3940.00;3940.00;3940.00;"15/12/20 17:20";CET;4;15760.00
"ASM INTERNATIONAL";NL0000334118;ASM;"Euronext Amsterdam";EUR;165.50;166.75;164.70;166.15;"15/12/20 17:35";CET;274830;45243620.25
"ASML HOLDING";NL0010273215;ASML;"Euronext Amsterdam";EUR;376.35;382.75;372.90;382.35;"15/12/20 17:39";CET;760521;289660387.10
"ASR NEDERLAND";NL0011872643;ASRNL;"Euronext Amsterdam";EUR;30.79;31.37;30.68;31.37;"15/12/20 17:35";CET;597014;18617651.94
Atea;NO0004822503;ATEA;"Oslo Børs";NOK;116.00;117.20;115.60;116.00;"15/12/20 16:25";CET;50177;549870.45
